12:04:51.673100|   DEBUG|            Ptr:137 |byte is \060 (0x30)
12:04:51.673230|   DEBUG|            Ptr:137 |byte is \225 (0x95)
12:04:51.673360|   DEBUG|            Ptr:137 |byte is \200 (0x80)
12:04:51.673490|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.673620|   DEBUG|            Ptr:137 |byte is \140 (0x60)
12:04:51.673754|   DEBUG|            Ptr:137 |byte is \225 (0x95)
12:04:51.673885|   DEBUG|            Ptr:137 |byte is \060 (0x30)
12:04:51.674015|   DEBUG|            Ptr:137 |byte is \225 (0x95)
12:04:51.674145|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.674275|   DEBUG|            Ptr:137 |byte is \006 (0x06)
12:04:51.674404|   DEBUG|            Ptr:137 |byte is \070 (0x38)
12:04:51.674533|   DEBUG|            Ptr:137 |byte is \214 (0x8c)
12:04:51.674662|   DEBUG|            Ptr:137 |byte is \140 (0x60)
12:04:51.674792|   DEBUG|            Ptr:137 |byte is \223 (0x93)
12:04:51.674921|   DEBUG|            Ptr:137 |byte is \110 (0x48)
12:04:51.675051|   DEBUG|            Ptr:137 |byte is \221 (0x91)
12:04:51.675181|   DEBUG|            Ptr:137 |byte is \170 (0x78)
12:04:51.675310|   DEBUG|            Ptr:137 |byte is \221 (0x91)
12:04:51.675440|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.675570|   DEBUG|            Ptr:137 |byte is \007 (0x07)
12:04:51.675700|   DEBUG|            Ptr:137 |byte is \010 (0x08)
12:04:51.675830|   DEBUG|            Ptr:137 |byte is \123 (0x53)
12:04:51.675960|   DEBUG|            Ptr:137 |byte is \120 (0x50)
12:04:51.676210|   DEBUG|            Ptr:137 |byte is \226 (0x96)
12:04:51.676344|   DEBUG|            Ptr:137 |byte is \170 (0x78)
12:04:51.676475|   DEBUG|            Ptr:137 |byte is \230 (0x98)
12:04:51.676606|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.676736|   DEBUG|            Ptr:137 |byte is \010 (0x08)
12:04:51.676865|   DEBUG|            Ptr:137 |byte is \010 (0x08)
12:04:51.676995|   DEBUG|            Ptr:137 |byte is \123 (0x53)
12:04:51.677124|   DEBUG|            Ptr:137 |byte is \130 (0x58)
12:04:51.677254|   DEBUG|            Ptr:137 |byte is \227 (0x97)
12:04:51.677384|   DEBUG|            Ptr:137 |byte is \170 (0x78)
12:04:51.677514|   DEBUG|            Ptr:137 |byte is \231 (0x99)
12:04:51.677644|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.677775|   DEBUG|            Ptr:137 |byte is \011 (0x09)
12:04:51.677905|   DEBUG|            Ptr:137 |byte is \200 (0x80)
12:04:51.678035|   DEBUG|            Ptr:137 |byte is \001 (0x01)
12:04:51.678164|   DEBUG|            Ptr:137 |byte is \150 (0x68)
12:04:51.678295|   DEBUG|            Ptr:137 |byte is \221 (0x91)
12:04:51.678424|   DEBUG|            Ptr:137 |byte is \170 (0x78)
12:04:51.678554|   DEBUG|            Ptr:137 |byte is \221 (0x91)
12:04:51.678684|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.678814|   DEBUG|            Ptr:137 |byte is \012 (0x0a)
12:04:51.678943|   DEBUG|            Ptr:137 |byte is \140 (0x60)
12:04:51.679073|   DEBUG|            Ptr:137 |byte is \223 (0x93)
12:04:51.679202|   DEBUG|            Ptr:137 |byte is \150 (0x68)
12:04:51.679332|   DEBUG|            Ptr:137 |byte is \221 (0x91)
12:04:51.679578|   DEBUG|            Ptr:137 |byte is \170 (0x78)
12:04:51.679709|   DEBUG|            Ptr:137 |byte is \220 (0x90)
12:04:51.679839|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.679969|   DEBUG|            Ptr:137 |byte is \013 (0x0b)
12:04:51.680099|   DEBUG|            Ptr:137 |byte is \200 (0x80)
12:04:51.680229|   DEBUG|            Ptr:137 |byte is \010 (0x08)
12:04:51.680360|   DEBUG|            Ptr:137 |byte is \200 (0x80)
12:04:51.680489|   DEBUG|            Ptr:137 |byte is \001 (0x01)
12:04:51.680619|   DEBUG|            Ptr:137 |byte is \200 (0x80)
12:04:51.680748|   DEBUG|            Ptr:137 |byte is \004 (0x04)
12:04:51.680878|   DEBUG|            Ptr:137 |byte is \170 (0x78)
12:04:51.681007|   DEBUG|            Ptr:137 |byte is \221 (0x91)
12:04:51.681137|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.681266|   DEBUG|            Ptr:137 |byte is \014 (0x0c)
12:04:51.681396|   DEBUG|            Ptr:137 |byte is \200 (0x80)
12:04:51.681525|   DEBUG|            Ptr:137 |byte is \002 (0x02)
12:04:51.681655|   DEBUG|            Ptr:137 |byte is \170 (0x78)
12:04:51.681785|   DEBUG|            Ptr:137 |byte is \224 (0x94)
12:04:51.681914|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.682048|   DEBUG|            Ptr:137 |byte is \015 (0x0d)
12:04:51.682179|   DEBUG|            Ptr:137 |byte is \200 (0x80)
12:04:51.682309|   DEBUG|            Ptr:137 |byte is \003 (0x03)
12:04:51.682439|   DEBUG|            Ptr:137 |byte is \170 (0x78)
12:04:51.682569|   DEBUG|            Ptr:137 |byte is \223 (0x93)
